Genre,Budget,Marketing_Budget,Screens,Weeks,Shows,Ticket_Price,Screen_Stability,Actor_Popularity,Director_Success,Occupancy,Seats_Per_Screen,Target
Sci-Fi,251,119,21172,7,4,490,Stable,1,4,0.5162228395066921,132,0
Documentary,372,133,537,8,9,708,Stable,2,1,0.6177601943233094,83,0
Thriller,292,60,14456,11,12,549,Stable,8,7,0.2522472727214188,111,1
Adventure,50,126,23650,11,9,467,Growing,4,4,0.46733456951233254,162,1
Thriller,345,110,24397,7,3,529,Growing,3,9,0.8566010841197945,181,1
Musical,171,134,10257,2,12,195,Growing,2,6,0.4835034762174041,137,0
Horror,169,85,27913,4,3,360,Growing,6,6,0.42723043333272337,92,0
War,483,162,9183,2,3,611,Drop Fast,4,9,0.630475873709555,229,0
Musical,98,124,20195,11,11,220,Drop Fast,3,8,0.3051110689094507,123,1
Adventure,331,56,16483,10,8,465,Growing,3,6,0.6221235921552795,109,0
Comedy,21,95,3900,10,7,431,Drop Fast,3,6,0.46256605876953183,230,1
Western,433,141,26292,6,13,151,Growing,8,6,0.5181720229120712,91,1
Animation,82,26,12345,5,12,495,Growing,9,4,0.8039555030360014,93,0
Thriller,85,38,6318,10,2,417,Stable,9,5,0.7133748130298828,115,0
Biography,355,114,23689,10,3,774,Growing,5,3,0.56227426518669,124,0
Fantasy,210,53,29813,4,2,376,Drop Fast,1,9,0.6542614191594576,103,0
Animation,19,133,28684,6,13,696,Growing,5,2,0.7868011287241604,198,1
Drama,361,77,2873,4,12,293,Stable,1,7,0.7720486216373318,210,0
War,235,88,2322,11,8,792,Drop Fast,9,1,0.3797251973858249,157,0
Sport,185,57,12177,3,7,120,Stable,8,7,0.4606434553994433,117,0
Horror,285,104,23666,2,3,498,Growing,7,2,0.49376585167621767,171,0
Musical,48,128,8450,11,3,301,Growing,2,5,0.3812796030035031,166,0
Fantasy,69,172,27209,3,3,565,Growing,2,1,0.25851301780441294,99,0
Horror,75,49,18646,9,9,250,Growing,4,5,0.37177708815216853,176,1
Comedy,330,141,17838,9,8,258,Drop Fast,9,4,0.815771028957041,81,1
Romance,444,109,3888,4,2,409,Growing,9,1,0.6321443159747298,233,0
Mystery,133,154,3948,8,5,603,Stable,8,1,0.4891606188910266,81,0
Horror,173,150,6542,8,12,125,Drop Fast,5,7,0.6758411119406253,121,1
Musical,417,110,16475,3,5,165,Drop Fast,7,3,0.7678838877427542,119,0
Biography,420,47,13865,10,8,362,Drop Fast,9,9,0.4980994481146038,216,1
Comedy,395,171,4330,4,3,571,Stable,3,9,0.5762523890744822,209,0
Mystery,168,138,20841,3,5,266,Stable,4,9,0.2949492516690809,235,1
Horror,66,52,3229,4,2,253,Stable,2,1,0.6679633753487354,82,0
War,87,130,19430,3,14,442,Stable,9,4,0.4994849668865292,95,1
Family,203,11,13382,9,14,512,Growing,7,1,0.5534665533205514,211,1
Animation,294,20,25246,6,12,764,Growing,6,1,0.5458204325628473,102,0
Fantasy,24,133,4235,4,12,283,Stable,5,9,0.6926865021197799,181,0
War,21,119,15327,6,5,770,Stable,7,5,0.6507257442681366,156,0
Fantasy,110,41,3099,9,12,293,Growing,3,1,0.5454742334435976,213,1
Family,165,169,9838,8,2,101,Growing,5,3,0.2618685150435101,134,0
History,349,129,21027,7,3,314,Stable,2,7,0.6846738302419655,215,0
Musical,134,85,21373,2,3,786,Drop Fast,5,2,0.8657042318240289,152,0
Animation,368,196,13422,11,13,686,Drop Fast,7,4,0.7886861001157283,177,1
History,289,66,17496,2,11,738,Stable,7,2,0.9371309425750575,160,0
Adventure,414,76,4442,2,13,582,Drop Fast,9,9,0.34735273661449934,193,0
Animation,403,193,24125,11,4,660,Growing,3,9,0.40576403695149754,146,1
History,119,129,18295,9,9,131,Drop Fast,8,7,0.6274872256553854,120,1
Action,343,165,25450,9,12,769,Stable,5,7,0.4151171916406645,119,0
Thriller,366,70,1639,8,7,114,Drop Fast,7,2,0.27418484689718287,182,0
Adventure,155,34,27510,7,7,417,Drop Fast,1,8,0.5316017933147623,234,1
Action,225,24,5813,5,10,342,Drop Fast,1,1,0.4513513139077877,118,0
Biography,407,192,20214,2,9,116,Growing,4,8,0.43463259196121795,132,0
Fantasy,171,86,5575,10,3,633,Growing,5,5,0.9172209719169739,119,0
Crime,137,111,23687,2,7,180,Growing,3,4,0.41691788138581465,131,0
Documentary,323,156,9077,5,2,755,Stable,6,2,0.34060279983117847,116,0
Sport,341,136,25902,4,14,535,Drop Fast,3,3,0.3377234805354958,146,0
Fantasy,159,41,20800,8,10,107,Growing,5,2,0.8144268514419704,226,1
Drama,463,136,2666,6,5,778,Growing,1,4,0.7503936521687181,241,0
Drama,45,81,27173,6,5,386,Drop Fast,3,3,0.3406403368969435,164,1
Action,182,93,8024,5,10,285,Stable,7,5,0.4038271832025504,145,0
Sci-Fi,429,150,12529,2,4,623,Drop Fast,3,7,0.7731401059104712,217,0
Mystery,31,92,11830,6,6,521,Stable,5,9,0.44223147848422983,131,0
Thriller,215,198,20708,5,2,565,Drop Fast,7,5,0.9370794526101465,249,1
Adventure,136,180,17549,11,7,182,Growing,2,8,0.6283990466346361,81,1
Thriller,345,37,14403,9,4,666,Growing,3,2,0.38440557928706176,208,0
Adventure,454,62,7128,3,2,742,Growing,4,6,0.8511659181589132,243,0
Fantasy,365,32,22680,9,11,736,Stable,5,8,0.4736328821280646,176,1
Biography,449,39,22741,2,7,582,Drop Fast,9,9,0.45216514854506445,101,0
Comedy,226,129,9311,5,13,424,Stable,9,4,0.4792088634160489,192,0
Action,105,142,8320,4,11,518,Growing,4,4,0.7877380737561264,161,0
Family,426,69,29689,6,3,150,Stable,9,7,0.3712490648011637,243,1
Sci-Fi,438,46,11264,6,9,126,Stable,4,4,0.5172500461826566,200,0
Drama,173,89,18092,6,14,776,Stable,2,5,0.2715829409490873,82,0
Biography,157,141,9604,5,12,644,Drop Fast,1,2,0.8286386321447253,197,0
Fantasy,27,192,1071,9,13,161,Stable,7,2,0.48850313641490367,223,1
Drama,303,115,12782,4,3,756,Stable,4,5,0.42372104386586207,218,0
Action,204,19,28030,5,5,270,Stable,8,2,0.6559252696628495,89,0
Drama,160,189,1063,2,4,385,Growing,8,6,0.7434943186259627,249,1
Sci-Fi,489,73,15083,8,10,216,Growing,8,6,0.8190272260280601,104,1
Animation,374,109,12345,2,3,103,Drop Fast,6,8,0.4934494618493475,199,0
War,132,154,27884,3,4,165,Growing,9,1,0.8186105951043486,85,0
Drama,409,68,3255,8,8,159,Drop Fast,4,7,0.5754167002600208,189,0
Action,196,45,21717,2,5,601,Growing,5,7,0.3207995872816575,87,0
Sci-Fi,462,75,12386,4,7,328,Drop Fast,4,9,0.8424152379010454,241,1
War,461,60,2882,7,4,199,Drop Fast,5,4,0.6333443474732301,120,0
Thriller,158,155,13082,7,2,218,Drop Fast,2,7,0.6717287003631698,189,0
Adventure,113,29,5478,7,12,168,Growing,5,6,0.9062438887863148,80,0
Animation,252,109,14005,3,7,763,Stable,8,4,0.6414060394574786,210,0
Animation,471,138,22032,3,5,320,Growing,9,8,0.2539084714745923,131,0
Mystery,240,123,17197,7,3,322,Stable,7,3,0.8594310887021718,181,1
History,488,166,2072,11,8,776,Growing,7,8,0.44932575622642196,156,0
Documentary,215,195,11546,6,11,603,Stable,6,5,0.6012368445488026,126,0
Thriller,207,13,7923,8,14,310,Growing,2,4,0.39342062179299414,193,0
Sport,405,64,14071,8,13,674,Drop Fast,9,3,0.4578884979184814,162,0
Western,409,129,16146,6,14,361,Drop Fast,5,7,0.7306541936469237,98,1
Horror,346,53,7389,9,6,617,Drop Fast,6,7,0.5507013457265397,149,1
Sci-Fi,96,55,12952,11,7,347,Stable,1,6,0.6889914414069709,126,0
Thriller,151,192,11765,7,7,356,Stable,5,3,0.8265029839190656,196,1
History,326,74,21970,6,10,162,Drop Fast,6,9,0.4885754155304416,157,1
Animation,208,41,7142,5,13,491,Stable,2,2,0.6478380268282287,84,0
Crime,55,35,14930,8,3,639,Drop Fast,7,3,0.7943115253611953,143,0
Horror,297,173,11583,5,13,516,Growing,4,1,0.7505862349385622,186,0
History,24,66,25343,6,7,152,Stable,5,7,0.6278904051872956,115,1
Thriller,53,97,28909,6,10,137,Stable,3,2,0.5183684575091485,216,1
Documentary,410,190,444,2,13,407,Growing,5,8,0.5352513868631122,230,0
Comedy,178,18,220,2,5,750,Stable,4,9,0.553194648397386,239,0
Mystery,319,168,14117,4,14,152,Stable,6,2,0.49419187026230627,235,0
History,53,168,25169,4,13,705,Stable,2,6,0.7393529444227885,90,0
Romance,107,83,13921,3,14,705,Growing,3,1,0.3377906765902808,226,0
Biography,270,12,29858,3,14,551,Drop Fast,1,8,0.9272178845020937,143,1
Biography,118,158,5967,7,12,560,Drop Fast,7,5,0.795289851380078,144,1
Western,292,40,28590,2,7,585,Growing,9,9,0.4587141365167417,152,0
Crime,381,52,10447,7,8,236,Growing,2,3,0.27978329848944494,136,0
Thriller,352,89,3715,6,2,471,Growing,7,2,0.7479122206652482,145,0
Action,113,32,27151,7,6,355,Drop Fast,3,7,0.7640513314788832,211,1
Action,265,194,2110,6,5,494,Growing,5,7,0.9245358273693036,236,1
Western,388,55,25065,8,14,136,Drop Fast,6,5,0.4275938903026155,83,1
History,215,108,22466,2,14,753,Growing,8,7,0.30790756314295664,203,1
Adventure,344,174,10950,4,14,246,Stable,4,6,0.8905943304029028,208,1
Drama,52,105,29783,7,11,107,Drop Fast,2,9,0.43105432422894263,171,1
Thriller,362,33,25136,2,3,350,Drop Fast,3,3,0.7550720131267172,97,0
Romance,254,131,8276,8,3,746,Growing,8,4,0.2924617464793745,220,0
Fantasy,296,86,18206,5,3,670,Stable,7,9,0.7824093634833168,149,1
Adventure,364,14,15251,4,8,734,Drop Fast,6,8,0.3389181279959983,182,0
Sci-Fi,282,110,4514,11,12,546,Growing,5,6,0.7369104436291224,165,1
Action,485,171,28870,10,14,362,Stable,5,3,0.6226401334973833,109,1
Documentary,92,5,2653,2,12,731,Drop Fast,1,9,0.9188416913270823,234,1
Mystery,119,43,2215,9,5,538,Growing,6,9,0.2758423501541401,186,0
Biography,447,25,26816,2,7,358,Stable,9,6,0.4544341220600407,235,1
Animation,199,69,10436,6,8,422,Drop Fast,8,2,0.2986562421339707,209,0
Adventure,480,19,3000,11,10,629,Drop Fast,1,7,0.8654383446678032,99,0
Western,297,136,27746,9,12,400,Stable,6,9,0.6657308075627755,157,1
Sport,433,192,9223,7,3,584,Growing,3,9,0.6244787286505293,231,0
Sport,406,65,26569,8,11,191,Growing,6,3,0.34202052448141684,156,1
Western,260,152,12084,9,13,263,Stable,9,2,0.5923225801191356,151,1
Biography,221,142,26567,7,14,755,Drop Fast,6,5,0.5290925586230708,228,1
Thriller,300,91,16552,7,10,434,Stable,8,7,0.47102630769731624,229,1
Comedy,142,109,27617,7,12,414,Stable,6,3,0.790532268849016,152,1
Drama,210,38,13082,6,6,337,Stable,6,4,0.2928932278834113,185,0
Sport,294,128,10546,9,14,785,Drop Fast,7,2,0.7026800091535412,207,1
Sci-Fi,335,114,25356,3,7,182,Stable,4,2,0.8260951218415482,186,0
Sport,418,180,23336,8,7,768,Stable,8,7,0.885115098002227,90,1
Sport,104,37,14235,5,12,208,Drop Fast,4,2,0.7721416163287871,159,0
Sport,287,102,24037,2,4,277,Drop Fast,7,1,0.4477189752007509,88,0
Comedy,459,65,16308,6,12,349,Stable,1,4,0.6703552223665923,179,0
Comedy,438,14,3053,4,12,666,Growing,9,6,0.34898252764004867,131,0
Sci-Fi,334,186,18820,5,11,766,Stable,9,4,0.3319424366213432,194,1
Action,228,88,4376,8,8,190,Drop Fast,7,1,0.6970368994969602,220,0
Action,98,69,2355,6,14,438,Drop Fast,8,1,0.8457753582089419,208,1
Documentary,81,81,26120,5,8,737,Drop Fast,2,9,0.2970736879897332,154,0
Comedy,256,5,22282,2,9,268,Growing,7,1,0.3242026124933091,231,0
Biography,138,137,7029,7,6,238,Drop Fast,1,7,0.6459251152005498,212,1
Romance,221,84,25121,11,3,616,Growing,3,7,0.4027483027135381,227,1
Horror,437,19,2086,7,14,677,Drop Fast,6,1,0.6782726859443534,222,0
Crime,352,32,6671,8,4,722,Drop Fast,5,1,0.4001806776787379,147,0
Sport,105,27,25330,2,10,283,Stable,5,6,0.3315373820142416,133,0
Romance,84,113,20354,5,7,269,Growing,9,8,0.6319024875153791,90,1
Sci-Fi,432,111,12789,10,9,461,Stable,6,7,0.8535365966228331,230,1
Western,63,149,8591,11,9,343,Growing,3,6,0.7295853805053709,208,1
Comedy,353,117,19524,7,6,237,Drop Fast,2,3,0.8231075962751753,249,1
Romance,468,102,20074,3,2,127,Drop Fast,9,7,0.4364346220730338,126,0
Crime,422,145,13550,5,7,618,Growing,4,6,0.870185055907918,194,1
Family,63,146,8099,7,8,497,Stable,5,8,0.5139274222033894,117,0
Family,227,143,506,5,10,432,Growing,9,4,0.8467133674998955,209,1
Action,25,32,3275,11,3,416,Growing,5,9,0.5798229131041083,124,0
Adventure,108,46,18240,8,13,662,Growing,7,1,0.43750035315234737,234,1
Romance,29,103,7444,4,14,525,Drop Fast,2,7,0.432181181718755,140,0
Family,55,65,6811,7,3,235,Growing,2,9,0.647367519055257,161,0
Drama,460,127,22906,5,11,789,Drop Fast,4,1,0.30530718914479205,90,0
Western,202,68,19276,4,2,740,Stable,8,3,0.901039336211956,236,1
Horror,392,35,14334,4,6,366,Drop Fast,2,7,0.44002444698897497,104,0
Documentary,67,85,18348,3,3,206,Stable,7,9,0.4849373724920987,157,0
Drama,446,14,475,4,4,659,Stable,1,1,0.4133110876188629,120,0
Documentary,120,12,5471,11,3,237,Stable,9,6,0.252105572392505,120,0
Western,138,153,7531,2,12,714,Drop Fast,6,2,0.7347851657661584,180,0
Thriller,346,63,11753,4,5,146,Growing,1,5,0.6633870307239564,218,0
Western,203,182,26177,10,12,764,Drop Fast,6,7,0.8167511781379809,111,1
Adventure,422,34,29509,5,4,467,Stable,5,7,0.2787075414156863,128,0
Action,349,149,26551,4,10,105,Growing,5,7,0.9000589513133241,85,1
Fantasy,335,24,11773,9,11,622,Drop Fast,5,4,0.48162085804225585,136,0
Thriller,17,52,21609,2,13,628,Stable,4,6,0.8891489037540556,85,0
Musical,38,134,20634,6,3,754,Stable,7,6,0.32499203744727767,126,1
Fantasy,121,41,24664,2,8,371,Growing,9,7,0.7707444070287488,142,1
Action,444,133,20044,8,12,165,Drop Fast,4,9,0.6555507620026286,229,1
Crime,170,136,10272,6,4,519,Growing,2,6,0.5007338506768089,146,0
Musical,140,104,16217,3,11,438,Growing,2,1,0.3053996771531135,226,0
Mystery,197,58,20419,2,9,597,Growing,2,8,0.6733155568927184,241,0
Drama,172,126,20862,8,5,568,Growing,7,2,0.2685079181517392,120,0
Thriller,206,29,18428,2,5,430,Drop Fast,4,3,0.6008974694022052,184,0
Family,484,135,28153,4,10,738,Growing,4,5,0.6729460030555585,86,0
Family,373,13,16655,7,12,230,Stable,1,6,0.7627666231012654,136,0
Western,213,38,7586,7,4,629,Stable,4,7,0.9439342439573921,95,0
Sport,221,47,7062,8,8,700,Stable,6,4,0.43206559945543543,138,0
Comedy,118,78,7540,2,2,537,Growing,2,3,0.4756728749614325,245,0
Action,285,98,26452,8,8,342,Stable,4,9,0.4888017427662944,216,1
Family,82,26,9687,3,11,562,Drop Fast,7,4,0.7621078983011845,113,0
Biography,176,74,15261,7,12,449,Growing,9,9,0.9022734877792796,125,1
Sci-Fi,269,134,7835,9,3,116,Growing,2,9,0.9320266247070911,244,1
Sci-Fi,252,98,14804,6,13,565,Growing,8,3,0.9120679565906904,122,1
Adventure,284,198,17627,11,7,462,Drop Fast,6,3,0.8655681054006703,126,1
Adventure,111,36,27401,4,14,309,Growing,8,8,0.9436841616744417,213,1
Drama,484,110,3242,9,10,710,Growing,2,1,0.5131620087841477,245,0
Documentary,182,148,17398,9,7,624,Stable,1,6,0.9138249239990944,191,1
Family,180,5,22206,5,4,798,Stable,7,6,0.7827139736771381,202,0
Family,150,76,10586,9,2,519,Growing,9,9,0.36792190166958477,140,0
Drama,406,180,11892,6,13,232,Drop Fast,9,2,0.2818256315140416,211,0
Western,197,54,23916,6,13,113,Stable,2,8,0.4001387705092256,212,1
Action,450,145,15425,4,5,143,Growing,4,7,0.7951257870013383,149,0
Western,95,19,16893,8,5,476,Stable,1,2,0.6921878168581189,139,0
Crime,485,57,6861,10,14,394,Stable,7,1,0.4070493801426796,167,0
Sport,61,176,10453,10,9,495,Drop Fast,2,4,0.7693450181299515,171,1
Fantasy,120,12,20811,2,11,203,Growing,4,2,0.3489255676067421,156,0
Horror,446,78,18461,2,11,544,Stable,2,3,0.8252889757010861,185,0
Romance,374,50,27578,11,14,161,Growing,1,2,0.8059126831795125,161,1
Fantasy,351,73,19070,6,8,664,Drop Fast,7,9,0.9308031794942339,86,0
Western,52,118,23470,2,11,511,Drop Fast,6,4,0.3551956952405227,110,0
Drama,220,151,21419,5,8,729,Stable,2,1,0.8846290960902202,164,0
Family,465,170,12137,2,8,420,Drop Fast,4,8,0.48877186460528693,127,0
Drama,209,127,994,3,13,230,Stable,3,4,0.5412419053567181,121,0
Musical,307,143,14798,3,3,298,Growing,3,8,0.5779115440207385,169,0
War,355,121,6986,5,10,135,Stable,3,8,0.6888328372417891,109,0
Musical,249,47,4214,9,7,315,Stable,4,9,0.9463343590826299,196,1
Comedy,124,24,7592,3,3,685,Drop Fast,1,7,0.6699711621386633,205,0
Drama,35,152,12745,10,2,405,Growing,1,4,0.8987011055282851,130,1
Family,416,25,5553,10,12,666,Growing,7,2,0.42851974145930605,242,1
Adventure,308,86,3607,3,2,111,Stable,5,6,0.5288881632706047,130,0
Horror,86,61,27232,2,2,182,Growing,3,4,0.6031496706070065,199,0
Action,421,182,26627,11,5,131,Growing,9,6,0.47603139285066953,188,1
Horror,146,78,17558,11,5,507,Stable,5,8,0.933806972075031,237,1
Action,29,102,25823,10,13,185,Stable,3,3,0.757978487728059,226,1
War,449,158,29142,3,10,510,Growing,9,1,0.5852169465277921,129,0
Family,220,162,29990,9,14,662,Stable,1,5,0.7759132908468557,162,1
Western,249,114,20821,4,13,355,Drop Fast,9,3,0.5772097493578559,165,0
Fantasy,48,119,16253,2,13,340,Growing,5,6,0.2620577291575482,211,0
Thriller,444,163,28565,2,2,551,Stable,6,3,0.6302353854672352,91,0
Drama,277,46,13389,11,4,100,Growing,2,1,0.6876296531328411,222,1
Sport,216,72,11413,3,4,700,Growing,8,9,0.9368451931029931,222,1
Action,488,193,7448,8,9,381,Drop Fast,3,5,0.27855499378243237,217,0
Family,448,193,4569,7,3,750,Drop Fast,1,2,0.6084678702185937,197,0
Biography,471,74,8250,3,7,698,Growing,7,2,0.3187083296958533,140,0
Documentary,276,82,28805,5,12,613,Drop Fast,3,9,0.3542971310996723,226,1
War,163,94,17048,3,5,779,Stable,4,1,0.6773243372779332,136,0
Romance,51,115,21911,2,14,218,Growing,5,3,0.4120973985865481,88,0
Romance,420,116,5615,4,11,604,Drop Fast,1,7,0.7744218779065172,108,0
History,20,107,15598,5,7,179,Growing,9,1,0.6099390848166909,86,0
Documentary,303,149,8315,11,14,722,Growing,7,2,0.40274901961601606,184,1
Fantasy,107,23,487,6,6,776,Stable,2,6,0.5956541743207455,224,0
Comedy,436,183,3395,6,13,318,Stable,1,9,0.2506172088356845,158,0
Action,284,74,25651,8,10,616,Stable,2,9,0.8539180305604887,223,1
Animation,457,67,18576,11,10,565,Drop Fast,3,8,0.258874863939034,185,0
Action,399,79,7650,9,2,617,Drop Fast,3,3,0.25490692474452775,162,0
Sci-Fi,439,162,3125,10,4,601,Drop Fast,8,2,0.6780527602257529,245,1
Family,381,157,14715,8,2,157,Stable,5,1,0.931464648053058,168,0
Documentary,239,108,17704,6,7,436,Growing,9,9,0.8491534390477851,155,1
Horror,378,79,5510,10,13,609,Stable,3,5,0.42641323881261617,89,0
Drama,435,132,17030,9,4,713,Drop Fast,6,3,0.38766676780337994,231,1
Sport,229,158,27608,11,2,525,Drop Fast,4,5,0.6882785264434188,129,1
Sport,74,60,11960,10,7,659,Drop Fast,8,3,0.8258464229154541,205,1
Biography,364,26,15096,11,6,469,Stable,1,9,0.5034550696300208,122,0
War,241,93,23211,9,13,510,Drop Fast,4,1,0.5526482132569531,244,1
Romance,337,23,19480,7,13,774,Stable,7,1,0.3308426595744258,133,0
Drama,452,163,17305,5,9,531,Growing,9,3,0.35697849487875144,122,0
Adventure,61,30,18747,10,3,295,Stable,1,6,0.6478461165182146,116,0
Sci-Fi,383,174,10974,10,9,476,Drop Fast,8,2,0.3218593020239059,248,1
Sport,440,173,15657,11,13,464,Growing,2,1,0.3914322873571307,207,1
War,385,27,9743,11,6,743,Drop Fast,4,8,0.4142739168083188,208,0
Drama,272,51,4180,10,9,504,Growing,4,9,0.5607471732495413,172,1
Action,276,17,21086,11,13,591,Drop Fast,8,1,0.2819283748865454,95,0
Western,368,70,11776,4,11,165,Stable,2,3,0.599839680185057,116,0
Action,326,198,18309,4,5,490,Drop Fast,7,5,0.900072084475857,244,1
Drama,333,148,25469,7,5,182,Stable,3,7,0.26712456278335084,214,1
Musical,418,77,3613,7,11,580,Stable,9,4,0.6916894056452256,119,0
Mystery,405,160,694,7,5,328,Growing,5,6,0.8350896556060796,143,0
Drama,163,81,1147,6,12,324,Stable,8,1,0.468722589784424,193,0
Fantasy,367,167,222,6,7,212,Stable,5,4,0.34206298151345743,101,0
War,375,173,1328,3,5,751,Stable,1,8,0.28033785132648414,122,0
Musical,149,35,14186,8,10,284,Growing,9,5,0.7007321416050617,141,1
Animation,436,89,16361,5,10,611,Drop Fast,7,8,0.6365640661603478,234,1
Comedy,60,164,16360,4,4,272,Drop Fast,4,1,0.4105064918743983,108,0
Mystery,126,186,17141,9,8,622,Stable,7,9,0.8321321153422235,95,1
Comedy,430,63,10008,5,13,770,Stable,5,4,0.7648544465066404,218,1
Sport,55,45,29812,5,6,304,Drop Fast,9,9,0.4435001494907482,100,0
Fantasy,318,116,20314,9,13,637,Stable,2,8,0.7773541160052436,216,1
Action,97,198,21925,2,10,418,Drop Fast,4,8,0.4214959494505408,106,0
Adventure,217,100,7198,10,3,258,Growing,6,2,0.7226872233064525,206,0
Crime,386,186,7382,8,4,377,Stable,5,3,0.3329815287517156,165,0
Family,278,172,23618,3,11,247,Stable,1,9,0.7345676243332451,186,1
Thriller,98,126,18240,7,6,182,Drop Fast,9,3,0.41714209328758217,230,1
Mystery,390,160,20757,9,13,518,Drop Fast,9,8,0.6507285479691998,130,1
Drama,127,169,22025,6,6,637,Growing,3,5,0.37072470679631775,159,0
Musical,63,109,9198,7,11,682,Stable,4,7,0.7581768632975666,210,1
History,450,197,3512,11,13,648,Drop Fast,4,4,0.2926157020751362,223,0
Thriller,125,78,13529,9,8,491,Growing,8,8,0.36579245076190314,215,1
Horror,127,187,29639,7,14,232,Drop Fast,6,4,0.3788955359095855,169,1
History,269,136,25229,10,9,737,Drop Fast,2,5,0.27894051009779897,249,1
Western,84,103,16002,10,9,726,Growing,4,1,0.7715087613121719,242,1
Action,489,130,11367,10,2,703,Growing,1,8,0.9366667533179529,127,0
Fantasy,314,142,2524,7,2,341,Growing,3,7,0.7948784518881776,133,0
War,16,179,9839,10,4,550,Growing,4,5,0.8524423734856769,182,1
Family,375,79,22179,4,2,299,Growing,8,6,0.254205362236794,115,0
War,131,18,13538,6,2,216,Growing,3,1,0.3325089746422153,85,0
Biography,20,42,10953,3,11,318,Stable,5,8,0.6413142375064036,91,0
Documentary,357,144,6184,9,9,404,Growing,1,9,0.9345082193559172,182,0
Animation,447,49,19095,5,2,342,Stable,4,5,0.7124990517337425,144,0
Comedy,498,149,15342,7,10,391,Drop Fast,2,7,0.5118956856166543,168,0
Comedy,224,167,11263,7,3,400,Drop Fast,4,4,0.35230451383702144,170,0
Documentary,438,198,562,6,10,783,Growing,5,6,0.35698498606785556,166,0
Sport,288,79,3654,2,8,487,Drop Fast,3,2,0.5039272416217486,100,0
Western,37,173,19382,8,10,687,Growing,6,4,0.7496671381408051,167,1
Mystery,244,199,21204,11,4,308,Growing,2,5,0.27227350371743747,92,0
Romance,376,33,28229,9,2,413,Stable,5,9,0.8465243140231469,249,1
Animation,322,22,3455,2,2,716,Drop Fast,4,9,0.909086004982864,199,0
Crime,35,24,17801,11,12,125,Growing,5,8,0.8721715223715818,222,1
Sci-Fi,418,18,18069,8,11,178,Drop Fast,9,4,0.8891188365778251,208,1
Action,63,166,26879,5,7,227,Stable,6,6,0.26073749559278464,130,0
Fantasy,38,181,5549,7,8,512,Drop Fast,7,7,0.9344546211649271,241,1
Biography,476,58,27312,10,10,236,Stable,8,1,0.5064499804232442,121,0
Biography,362,35,7395,6,7,433,Stable,9,1,0.8584967828556223,141,0
Sci-Fi,173,62,10247,9,6,647,Stable,5,4,0.38076620948972995,174,0
Thriller,279,108,7950,6,3,487,Growing,8,3,0.5625680198635659,239,0
Horror,343,174,29593,3,3,670,Growing,2,4,0.2809150720367837,179,0
Romance,44,190,22663,5,9,329,Drop Fast,9,9,0.27805319778997906,140,1
History,295,132,9599,3,2,520,Growing,2,2,0.9102932705387466,172,0
Western,357,162,26224,8,9,223,Growing,5,4,0.8174246287703273,231,1
Animation,282,29,13886,8,12,187,Drop Fast,6,7,0.6208782310896552,234,1
Drama,460,195,8235,4,11,240,Stable,4,2,0.6178207214951765,100,0
